レポート開始日,レポート終了日,キャンペーン名,地域,結果,結果インジケーター,リーチ,インプレッション,消化金額 (JPY),リンクのクリック,クリック(すべて),購入,購入のコンバージョン値
2026-08-01,2026-08-31,新規獲得_コンバージョン,東京都,55,actions:offsite_conversion.fb_pixel_purchase,79671,196431,284837,2456,4388,55,381318
2026-08-01,2026-08-31,新規獲得_コンバージョン,神奈川県,22,actions:offsite_conversion.fb_pixel_purchase,35884,88475,128294,1053,1882,22,156136
2026-08-01,2026-08-31,新規獲得_コンバージョン,大阪府,25,actions:offsite_conversion.fb_pixel_purchase,41301,101828,147657,1212,2167,25,171145
2026-08-01,2026-08-31,新規獲得_コンバージョン,愛知県,13,actions:offsite_conversion.fb_pixel_purchase,24308,59934,86907,678,1211,13,90910
2026-08-01,2026-08-31,新規獲得_コンバージョン,埼玉県,14,actions:offsite_conversion.fb_pixel_purchase,25669,63287,91770,716,1279,14,95997
2026-08-01,2026-08-31,新規獲得_コンバージョン,千葉県,12,actions:offsite_conversion.fb_pixel_purchase,21752,53630,77767,607,1084,12,81349
2026-08-01,2026-08-31,新規獲得_コンバージョン,福岡県,9,actions:offsite_conversion.fb_pixel_purchase,16459,40580,58843,483,863,9,61383
2026-08-01,2026-08-31,新規獲得_コンバージョン,北海道,10,actions:offsite_conversion.fb_pixel_purchase,20610,50816,73686,575,1027,10,68966
2026-08-01,2026-08-31,新規獲得_コンバージョン,兵庫県,11,actions:offsite_conversion.fb_pixel_purchase,19398,47826,69351,569,1018,11,80382
2026-08-01,2026-08-31,新規獲得_コンバージョン,京都府,7,actions:offsite_conversion.fb_pixel_purchase,10928,26943,39069,321,573,7,47548
2026-08-01,2026-08-31,新規獲得_コンバージョン,静岡県,6,actions:offsite_conversion.fb_pixel_purchase,11846,29206,42351,330,590,6,41970
2026-08-01,2026-08-31,新規獲得_コンバージョン,広島県,3,actions:offsite_conversion.fb_pixel_purchase,6550,16149,23417,183,327,3,23206
2026-08-01,2026-08-31,新規獲得_コンバージョン,宮城県,3,actions:offsite_conversion.fb_pixel_purchase,6773,16699,24214,189,338,3,22663
2026-08-01,2026-08-31,新規獲得_コンバージョン,その他,21,actions:offsite_conversion.fb_pixel_purchase,48945,120677,174989,1293,2311,21,146033
2026-08-01,2026-08-31,リターゲティング,東京都,46,actions:offsite_conversion.fb_pixel_purchase,20994,50433,112724,832,1498,46,346674
2026-08-01,2026-08-31,リターゲティング,神奈川県,19,actions:offsite_conversion.fb_pixel_purchase,9707,23319,52120,366,660,19,145720
2026-08-01,2026-08-31,リターゲティング,大阪府,18,actions:offsite_conversion.fb_pixel_purchase,9649,23180,51810,364,656,18,137954
2026-08-01,2026-08-31,リターゲティング,愛知県,10,actions:offsite_conversion.fb_pixel_purchase,6142,14755,32979,220,397,10,79251
2026-08-01,2026-08-31,リターゲティング,埼玉県,12,actions:offsite_conversion.fb_pixel_purchase,7327,17602,39342,263,473,12,94542
2026-08-01,2026-08-31,リターゲティング,千葉県,8,actions:offsite_conversion.fb_pixel_purchase,4928,11838,26459,177,318,8,63584
2026-08-01,2026-08-31,リターゲティング,福岡県,8,actions:offsite_conversion.fb_pixel_purchase,4488,10781,24097,169,305,8,57747
2026-08-01,2026-08-31,リターゲティング,北海道,7,actions:offsite_conversion.fb_pixel_purchase,4309,10353,23139,155,278,7,49753
2026-08-01,2026-08-31,リターゲティング,兵庫県,9,actions:offsite_conversion.fb_pixel_purchase,4505,10822,24189,170,306,9,64408
2026-08-01,2026-08-31,リターゲティング,京都府,5,actions:offsite_conversion.fb_pixel_purchase,2697,6479,14482,102,183,5,40490
2026-08-01,2026-08-31,リターゲティング,静岡県,4,actions:offsite_conversion.fb_pixel_purchase,2595,6234,13934,93,168,4,31723
2026-08-01,2026-08-31,リターゲティング,広島県,3,actions:offsite_conversion.fb_pixel_purchase,1695,4073,9104,61,109,3,20726
2026-08-01,2026-08-31,リターゲティング,宮城県,3,actions:offsite_conversion.fb_pixel_purchase,1949,4682,10465,70,126,3,22500
2026-08-01,2026-08-31,リターゲティング,その他,18,actions:offsite_conversion.fb_pixel_purchase,13618,32715,73123,463,833,18,140187
2026-08-01,2026-08-31,認知_動画,東京都,66751,reach,66751,165975,102369,766,1371,5,29682
2026-08-01,2026-08-31,認知_動画,神奈川県,28874,reach,28874,71795,44281,315,565,2,11672
2026-08-01,2026-08-31,認知_動画,大阪府,37157,reach,37157,92389,56983,406,727,2,14305
2026-08-01,2026-08-31,認知_動画,愛知県,21026,reach,21026,52281,32246,218,391,1,7305
2026-08-01,2026-08-31,認知_動画,埼玉県,25778,reach,25778,64096,39533,267,479,1,8957
2026-08-01,2026-08-31,認知_動画,千葉県,20113,reach,20113,50011,30845,209,374,1,6988
2026-08-01,2026-08-31,認知_動画,福岡県,16332,reach,16332,40609,25047,178,320,1,5659
2026-08-01,2026-08-31,認知_動画,北海道,15150,reach,15150,37670,23234,157,282,1,4710
2026-08-01,2026-08-31,認知_動画,兵庫県,15519,reach,15519,38588,23800,170,304,1,5975
2026-08-01,2026-08-31,認知_動画,京都府,9764,reach,9764,24279,14974,107,191,1,3947
2026-08-01,2026-08-31,認知_動画,静岡県,9754,reach,9754,24254,14959,101,181,1,3211
2026-08-01,2026-08-31,認知_動画,広島県,6960,reach,6960,17306,10674,72,129,,2291
2026-08-01,2026-08-31,認知_動画,宮城県,6036,reach,6036,15007,9256,63,112,,1876
2026-08-01,2026-08-31,認知_動画,その他,35972,reach,35972,89443,55166,354,634,2,9971
