レポート開始日,レポート終了日,キャンペーン名,年齢,性別,結果,結果インジケーター,リーチ,インプレッション,消化金額 (JPY),リンクのクリック,クリック(すべて),購入,購入のコンバージョン値
2026-08-01,2026-08-31,新規獲得_コンバージョン,18-24,female,6,actions:offsite_conversion.fb_pixel_purchase,17308,42673,61879,553,987,6,44054
2026-08-01,2026-08-31,新規獲得_コンバージョン,18-24,male,2,actions:offsite_conversion.fb_pixel_purchase,11111,27396,39725,290,519,2,17355
2026-08-01,2026-08-31,新規獲得_コンバージョン,18-24,unknown,,actions:offsite_conversion.fb_pixel_purchase,1601,3947,5723,37,66,,1975
2026-08-01,2026-08-31,新規獲得_コンバージョン,25-34,female,30,actions:offsite_conversion.fb_pixel_purchase,51059,125887,182544,1630,2913,30,205773
2026-08-01,2026-08-31,新規獲得_コンバージョン,25-34,male,8,actions:offsite_conversion.fb_pixel_purchase,23121,57005,82661,604,1079,8,56175
2026-08-01,2026-08-31,新規獲得_コンバージョン,25-34,unknown,1,actions:offsite_conversion.fb_pixel_purchase,2406,5934,8604,56,100,1,4455
2026-08-01,2026-08-31,新規獲得_コンバージョン,35-44,female,57,actions:offsite_conversion.fb_pixel_purchase,75238,185501,268988,2293,4097,57,396069
2026-08-01,2026-08-31,新規獲得_コンバージョン,35-44,male,15,actions:offsite_conversion.fb_pixel_purchase,31388,77388,112218,866,1547,15,103498
2026-08-01,2026-08-31,新規獲得_コンバージョン,35-44,unknown,1,actions:offsite_conversion.fb_pixel_purchase,2014,4965,7199,47,84,1,4349
2026-08-01,2026-08-31,新規獲得_コンバージョン,45-54,female,45,actions:offsite_conversion.fb_pixel_purchase,60564,149322,216526,1758,3141,45,315317
2026-08-01,2026-08-31,新規獲得_コンバージョン,45-54,male,14,actions:offsite_conversion.fb_pixel_purchase,28668,70681,102492,790,1413,14,99780
2026-08-01,2026-08-31,新規獲得_コンバージョン,45-54,unknown,1,actions:offsite_conversion.fb_pixel_purchase,1781,4392,6368,41,74,1,3847
2026-08-01,2026-08-31,新規獲得_コンバージョン,55-64,female,19,actions:offsite_conversion.fb_pixel_purchase,32185,79352,115066,887,1586,19,129708
