レポート開始日,レポート終了日,キャンペーン名,プラットフォーム,配置,結果,結果インジケーター,リーチ,インプレッション,消化金額 (JPY),リンクのクリック,クリック(すべて),購入,購入のコンバージョン値
2026-08-01,2026-08-31,新規獲得_コンバージョン,instagram,フィード,74,actions:offsite_conversion.fb_pixel_purchase,95208,234738,340384,3258,5822,74,515063
2026-08-01,2026-08-31,新規獲得_コンバージョン,instagram,ストーリーズ,25,actions:offsite_conversion.fb_pixel_purchase,54120,133436,193489,1347,2407,25,174219
2026-08-01,2026-08-31,新規獲得_コンバージョン,instagram,リール,27,actions:offsite_conversion.fb_pixel_purchase,57278,141220,204778,1603,2865,27,184383
2026-08-01,2026-08-31,新規獲得_コンバージョン,instagram,発見タブ,5,actions:offsite_conversion.fb_pixel_purchase,10422,25695,37260,292,521,5,35646
2026-08-01,2026-08-31,新規獲得_コンバージョン,facebook,フィード,59,actions:offsite_conversion.fb_pixel_purchase,76703,189113,274225,2386,4264,59,411524
2026-08-01,2026-08-31,新規獲得_コンバージョン,facebook,リール,7,actions:offsite_conversion.fb_pixel_purchase,16948,41787,60593,448,801,7,45086
2026-08-01,2026-08-31,新規獲得_コンバージョン,facebook,インストリーム動画,3,actions:offsite_conversion.fb_pixel_purchase,17080,42112,61065,319,570,3,22910
2026-08-01,2026-08-31,新規獲得_コンバージョン,facebook,Marketplace,8,actions:offsite_conversion.fb_pixel_purchase,14256,35149,50968,421,753,8,54496
2026-08-01,2026-08-31,新規獲得_コンバージョン,audience_network,ネイティブ、バナー、インタースティシャル,2,actions:offsite_conversion.fb_pixel_purchase,21444,52872,76668,467,834,2,16779
2026-08-01,2026-08-31,新規獲得_コンバージョン,messenger,受信箱,1,actions:offsite_conversion.fb_pixel_purchase,6635,16359,23722,124,221,1,8900
2026-08-01,2026-08-31,リターゲティング,instagram,フィード,54,actions:offsite_conversion.fb_pixel_purchase,22237,53419,119397,977,1759,54,408737
2026-08-01,2026-08-31,リターゲティング,instagram,ストーリーズ,22,actions:offsite_conversion.fb_pixel_purchase,15002,36039,80551,479,863,22,164084
2026-08-01,2026-08-31,リターゲティング,instagram,リール,18,actions:offsite_conversion.fb_pixel_purchase,12853,30878,69015,462,832,18,140586
2026-08-01,2026-08-31,リターゲティング,instagram,発見タブ,4,actions:offsite_conversion.fb_pixel_purchase,2704,6497,14521,97,175,4,31428
2026-08-01,2026-08-31,リターゲティング,facebook,フィード,56,actions:offsite_conversion.fb_pixel_purchase,23602,56700,126732,943,1697,56,430260
2026-08-01,2026-08-31,リターゲティング,facebook,リール,5,actions:offsite_conversion.fb_pixel_purchase,4402,10574,23635,150,269,5,39787
2026-08-01,2026-08-31,リターゲティング,facebook,インストリーム動画,2,actions:offsite_conversion.fb_pixel_purchase,3475,8348,18659,83,150,2,15837
2026-08-01,2026-08-31,リターゲティング,facebook,Marketplace,6,actions:offsite_conversion.fb_pixel_purchase,3259,7828,17497,124,222,6,42324
2026-08-01,2026-08-31,リターゲティング,audience_network,ネイティブ、バナー、インタースティシャル,2,actions:offsite_conversion.fb_pixel_purchase,5267,12654,28283,147,265,2,14003
2026-08-01,2026-08-31,リターゲティング,messenger,受信箱,1,actions:offsite_conversion.fb_pixel_purchase,1802,4329,9677,43,78,1,8213
2026-08-01,2026-08-31,認知_動画,instagram,フィード,66274,reach,66274,164789,101637,858,1536,6,34191
2026-08-01,2026-08-31,認知_動画,instagram,ストーリーズ,58235,reach,58235,144801,89309,548,982,3,17877
2026-08-01,2026-08-31,認知_動画,instagram,リール,39726,reach,39726,98779,60924,420,753,2,12196
2026-08-01,2026-08-31,認知_動画,instagram,発見タブ,9539,reach,9539,23717,14628,101,181,,3111
2026-08-01,2026-08-31,認知_動画,facebook,フィード,69951,reach,69951,173931,107276,823,1474,6,35790
2026-08-01,2026-08-31,認知_動画,facebook,リール,15722,reach,15722,39093,24112,157,282,1,3989
2026-08-01,2026-08-31,認知_動画,facebook,インストリーム動画,14174,reach,14174,35244,21738,100,179,,1813
2026-08-01,2026-08-31,認知_動画,facebook,Marketplace,14135,reach,14135,35147,21678,158,283,1,5153
2026-08-01,2026-08-31,認知_動画,audience_network,ネイティブ、バナー、インタースティシャル,20253,reach,20253,50358,31059,167,299,,1511
2026-08-01,2026-08-31,認知_動画,messenger,受信箱,7177,reach,7177,17844,11006,51,91,,918
