レポート開始日,レポート終了日,キャンペーン名,広告セット名,広告名,日,結果,結果インジケーター,リーチ,フリークエンシー,インプレッション,消化金額 (JPY),結果の単価,リンクのクリック,CTR(リンククリックスルー率),クリック(すべて),"CPM(1,000インプレッション単価) (JPY)",CPC(リンククリックの単価) (JPY),ランディングページビュー,購入,購入のコンバージョン値,購入ROAS(広告費用対効果),動画の3秒再生数,ThruPlay,アトリビューション設定
2026-08-01,2026-08-01,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_動画_使い方15秒,2026-08-01,2,actions:offsite_conversion.fb_pixel_purchase,3816,1.13,4321,6462,3231.00,60,1.39,104,1495.49,107.70,51,2,15464,2.39,925,429,7日間のクリックまたは1日間のビュー
2026-08-02,2026-08-02,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_動画_使い方15秒,2026-08-02,3,actions:offsite_conversion.fb_pixel_purchase,5254,1.17,6161,8139,2713.00,96,1.56,178,1321.05,84.78,76,3,19207,2.36,1266,582,7日間のクリックまたは1日間のビュー
2026-08-03,2026-08-03,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_動画_使い方15秒,2026-08-03,1,actions:offsite_conversion.fb_pixel_purchase,3141,1.16,3652,5268,5268.00,52,1.42,99,1442.50,101.31,41,1,6275,1.19,886,312,7日間のクリックまたは1日間のビュー
2026-08-04,2026-08-04,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_動画_使い方15秒,2026-08-04,2,actions:offsite_conversion.fb_pixel_purchase,3394,1.19,4032,5602,2801.00,62,1.54,122,1389.38,90.35,47,2,16251,2.90,971,272,7日間のクリックまたは1日間のビュー
2026-08-05,2026-08-05,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_動画_使い方15秒,2026-08-05,2,actions:offsite_conversion.fb_pixel_purchase,4210,1.10,4626,7375,3687.50,60,1.30,103,1594.25,122.92,51,2,15822,2.15,1280,406,7日間のクリックまたは1日間のビュー
2026-08-06,2026-08-06,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_動画_使い方15秒,2026-08-06,2,actions:offsite_conversion.fb_pixel_purchase,4940,1.09,5405,7082,3541.00,89,1.65,170,1310.27,79.57,67,2,11763,1.66,1185,347,7日間のクリックまたは1日間のビュー
2026-08-07,2026-08-07,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_動画_使い方15秒,2026-08-07,2,actions:offsite_conversion.fb_pixel_purchase,5232,1.06,5556,7445,3722.50,78,1.40,156,1339.99,95.45,57,2,13410,1.80,1631,547,7日間のクリックまたは1日間のビュー
2026-08-08,2026-08-08,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_動画_使い方15秒,2026-08-08,2,actions:offsite_conversion.fb_pixel_purchase,5060,1.23,6244,8356,4178.00,84,1.35,148,1338.24,99.48,68,2,13736,1.64,1525,497,7日間のクリックまたは1日間のビュー
2026-08-09,2026-08-09,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_動画_使い方15秒,2026-08-09,2,actions:offsite_conversion.fb_pixel_purchase,3824,1.22,4659,6679,3339.50,61,1.31,101,1433.57,109.49,53,2,13515,2.02,1076,338,7日間のクリックまたは1日間のビュー
2026-08-10,2026-08-10,新規獲得_コンバージョン,類似オーディエンス_購入者1%,新規_動画_使い方15秒,2026-08-10,1,actions:offsite_conversion.fb_pixel_purchase,3225,1.11,3570,5126,5126.00,41,1.15,69,1435.85,125.02,31,1,6865,1.34,978,346,7日間のクリックまたは1日間のビュー
