レポート開始日,レポート終了日,キャンペーン名,年齢,性別,結果,結果インジケーター,リーチ,インプレッション,消化金額 (JPY),リンクのクリック,クリック(すべて),購入,購入のコンバージョン値
2026-09-01,2026-09-30,新規獲得_コンバージョン,18-24,female,9,actions:offsite_conversion.fb_pixel_purchase,23784,52974,76419,700,1258,9,63454
2026-09-01,2026-09-30,新規獲得_コンバージョン,18-24,male,3,actions:offsite_conversion.fb_pixel_purchase,13908,30977,44688,335,602,3,22769
2026-09-01,2026-09-30,新規獲得_コンバージョン,18-24,unknown,,actions:offsite_conversion.fb_pixel_purchase,2262,5038,7268,48,87,,2926
2026-09-01,2026-09-30,新規獲得_コンバージョン,25-34,female,39,actions:offsite_conversion.fb_pixel_purchase,64828,144392,208297,1909,3429,39,273849
2026-09-01,2026-09-30,新規獲得_コンバージョン,25-34,male,12,actions:offsite_conversion.fb_pixel_purchase,31711,70630,101889,764,1373,12,80757
2026-09-01,2026-09-30,新規獲得_コンバージョン,25-34,unknown,1,actions:offsite_conversion.fb_pixel_purchase,2839,6324,9122,61,109,1,5509
2026-09-01,2026-09-30,新規獲得_コンバージョン,35-44,female,61,actions:offsite_conversion.fb_pixel_purchase,77165,171871,247938,2169,3896,61,425781
2026-09-01,2026-09-30,新規獲得_コンバージョン,35-44,male,21,actions:offsite_conversion.fb_pixel_purchase,42579,94837,136810,1083,1945,21,147162
2026-09-01,2026-09-30,新規獲得_コンバージョン,35-44,unknown,1,actions:offsite_conversion.fb_pixel_purchase,3329,7414,10695,71,128,1,7535
2026-09-01,2026-09-30,新規獲得_コンバージョン,45-54,female,61,actions:offsite_conversion.fb_pixel_purchase,78218,174215,251319,2094,3761,61,426845
2026-09-01,2026-09-30,新規獲得_コンバージョン,45-54,male,17,actions:offsite_conversion.fb_pixel_purchase,31636,70462,101648,804,1445,17,115414
2026-09-01,2026-09-30,新規獲得_コンバージョン,45-54,unknown,1,actions:offsite_conversion.fb_pixel_purchase,2424,5400,7789,52,93,1,5488
2026-09-01,2026-09-30,新規獲得_コンバージョン,55-64,female,25,actions:offsite_conversion.fb_pixel_purchase,41253,91882,132547,1049,1885,25,174259
2026-09-01,2026-09-30,新規獲得_コンバージョン,55-64,male,8,actions:offsite_conversion.fb_pixel_purchase,20289,45190,65191,489,878,8,59051
2026-09-01,2026-09-30,新規獲得_コンバージョン,55-64,unknown,,actions:offsite_conversion.fb_pixel_purchase,1274,2837,4092,27,49,,2471
2026-09-01,2026-09-30,新規獲得_コンバージョン,65+,female,8,actions:offsite_conversion.fb_pixel_purchase,16244,36180,52193,391,703,8,53188
2026-09-01,2026-09-30,新規獲得_コンバージョン,65+,male,4,actions:offsite_conversion.fb_pixel_purchase,10700,23832,34379,243,438,4,25735
2026-09-01,2026-09-30,新規獲得_コンバージョン,65+,unknown,,actions:offsite_conversion.fb_pixel_purchase,917,2043,2948,20,35,,1483
2026-09-01,2026-09-30,リターゲティング,18-24,female,6,actions:offsite_conversion.fb_pixel_purchase,4002,10399,23310,176,313,6,46064
2026-09-01,2026-09-30,リターゲティング,18-24,male,2,actions:offsite_conversion.fb_pixel_purchase,2509,6519,14613,90,161,2,17720
2026-09-01,2026-09-30,リターゲティング,18-24,unknown,,actions:offsite_conversion.fb_pixel_purchase,383,995,2229,12,22,,2136
2026-09-01,2026-09-30,リターゲティング,25-34,female,33,actions:offsite_conversion.fb_pixel_purchase,13739,35696,80020,602,1076,33,250370
2026-09-01,2026-09-30,リターゲティング,25-34,male,8,actions:offsite_conversion.fb_pixel_purchase,5467,14203,31839,196,350,8,60058
2026-09-01,2026-09-30,リターゲティング,25-34,unknown,1,actions:offsite_conversion.fb_pixel_purchase,590,1533,3436,19,34,1,4938
2026-09-01,2026-09-30,リターゲティング,35-44,female,57,actions:offsite_conversion.fb_pixel_purchase,17990,46741,104779,753,1344,57,428231
2026-09-01,2026-09-30,リターゲティング,35-44,male,15,actions:offsite_conversion.fb_pixel_purchase,7785,20227,45342,295,526,15,116076
2026-09-01,2026-09-30,リターゲティング,35-44,unknown,1,actions:offsite_conversion.fb_pixel_purchase,608,1579,3539,19,35,1,5934
2026-09-01,2026-09-30,リターゲティング,45-54,female,49,actions:offsite_conversion.fb_pixel_purchase,15730,40868,91614,627,1119,49,370312
2026-09-01,2026-09-30,リターゲティング,45-54,male,13,actions:offsite_conversion.fb_pixel_purchase,6190,16081,36050,234,419,13,97414
2026-09-01,2026-09-30,リターゲティング,45-54,unknown,1,actions:offsite_conversion.fb_pixel_purchase,504,1310,2937,16,29,1,4924
2026-09-01,2026-09-30,リターゲティング,55-64,female,16,actions:offsite_conversion.fb_pixel_purchase,6808,17687,39650,258,460,16,124058
2026-09-01,2026-09-30,リターゲティング,55-64,male,5,actions:offsite_conversion.fb_pixel_purchase,3221,8369,18760,116,206,5,40442
2026-09-01,2026-09-30,リターゲティング,55-64,unknown,,actions:offsite_conversion.fb_pixel_purchase,296,768,1722,10,17,,2475
2026-09-01,2026-09-30,リターゲティング,65+,female,5,actions:offsite_conversion.fb_pixel_purchase,2374,6168,13826,85,152,5,33533
2026-09-01,2026-09-30,リターゲティング,65+,male,3,actions:offsite_conversion.fb_pixel_purchase,1958,5087,11403,66,118,3,20314
2026-09-01,2026-09-30,リターゲティング,65+,unknown,,actions:offsite_conversion.fb_pixel_purchase,194,504,1131,6,11,,1354
